Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
4,4096,128,21.619,10297983722,229965228,1896052809
4,4096,256,22.718,9302674107,1095448185,1655779221
4,4096,512,21.935,9212901225,1614078581,1498618200
4,6144,128,71.791,34759177797,448528901,5813254874
4,6144,256,75.978,31315627420,3592483977,5515604584
4,6144,512,69.055,30480774386,2070839520,3050870332
4,8192,128,186.326,81218058509,6522891314,22134430987
4,8192,256,180.340,74954839592,8530796449,13433600522
4,8192,512,172.546,73861400338,12951182263,11794709618
4,10240,128,342.066,160611635634,4157536310,30088403070
4,10240,256,351.421,145009581791,16708927622,25379043722
4,10240,512,323.899,140904345331,11054808640,14834283993
